Epoch1 Loss: 584200.0, New Best Found!!
Epoch377 Loss: 160.24740237987888, New Best Found!!
Epoch378 Loss: 160.01397700177586, New Best Found!!
Epoch379 Loss: 159.78187323208718, New Best Found!!
Epoch380 Loss: 159.55107790460198, New Best Found!!
Epoch381 Loss: 159.32157802823986, New Best Found!!
Epoch382 Loss: 159.09336078514963, New Best Found!!
Epoch383 Loss: 158.86641352881708, New Best Found!!
Epoch384 Loss: 158.64072378217512, New Best Found!!
Epoch385 Loss: 158.41627923572233, New Best Found!!
Epoch386 Loss: 158.1930677456487, New Best Found!!
Epoch387 Loss: 157.97107733197456, New Best Found!!
Epoch388 Loss: 157.75029617669583, New Best Found!!
Epoch389 Loss: 157.53071262194842, New Best Found!!
Epoch390 Loss: 157.31231516818616, New Best Found!!
Epoch391 Loss: 157.09509247236912, New Best Found!!
Epoch392 Loss: 156.87903334617772, New Best Found!!
Epoch393 Loss: 156.66412675424223, New Best Found!!
Epoch394 Loss: 156.4503618123909, New Best Found!!
Epoch395 Loss: 156.23772778592166, New Best Found!!
Epoch396 Loss: 156.02621408789682, New Best Found!!
Epoch397 Loss: 155.8158102774617, New Best Found!!
Epoch398 Loss: 155.60650605818765, New Best Found!!
Epoch399 Loss: 155.3982912764428, New Best Found!!
Epoch400 Loss: 155.19115591978908, New Best Found!!
Epoch401 Loss: 154.98509011540878, New Best Found!!
Epoch402 Loss: 154.780084128562, New Best Found!!
Epoch403 Loss: 154.57612836107208, New Best Found!!
Epoch404 Loss: 154.37321334984608, New Best Found!!
Epoch405 Loss: 154.17132976542538, New Best Found!!
Epoch406 Loss: 153.97046841057045, New Best Found!!
Epoch407 Loss: 153.77062021888165, New Best Found!!
Epoch408 Loss: 153.57177625345324, New Best Found!!
Epoch409 Loss: 153.3739277055636, New Best Found!!
Epoch410 Loss: 153.17706589340077, New Best Found!!
Epoch411 Loss: 152.98118226082954, New Best Found!!
Epoch412 Loss: 152.78626837618805, New Best Found!!
Epoch413 Loss: 152.5923159311287, New Best Found!!
Epoch414 Loss: 152.39931673949437, New Best Found!!
Epoch415 Loss: 152.20726273623194, New Best Found!!
Epoch416 Loss: 152.01614597634384, New Best Found!!
Epoch417 Loss: 151.82595863387854, New Best Found!!
Epoch418 Loss: 151.63669300095668, New Best Found!!
Epoch419 Loss: 151.44834148683597, New Best Found!!
Epoch420 Loss: 151.26089661701224, New Best Found!!
Epoch421 Loss: 151.07435103235485, New Best Found!!
Epoch422 Loss: 150.8886974882786, New Best Found!!
Epoch423 Loss: 150.70392885394747, New Best Found!!
Epoch424 Loss: 150.52003811151752, New Best Found!!
Epoch425 Loss: 150.33701835540018, New Best Found!!
Epoch426 Loss: 150.15486279156616, New Best Found!!
Epoch427 Loss: 149.9735647368721, New Best Found!!
Epoch428 Loss: 149.79311761841694, New Best Found!!
Epoch429 Loss: 149.61351497291741, New Best Found!!
Epoch430 Loss: 149.43475044611472, New Best Found!!
Epoch431 Loss: 149.25681779219468, New Best Found!!
Epoch432 Loss: 149.07971087322716, New Best Found!!
Epoch433 Loss: 148.90342365862412, New Best Found!!
Epoch434 Loss: 148.7279502246067, New Best Found!!
Epoch435 Loss: 148.55328475368245, New Best Found!!
Epoch436 Loss: 148.37942153413468, New Best Found!!
Epoch437 Loss: 148.20635495950893, New Best Found!!
Epoch438 Loss: 148.03407952810383, New Best Found!!
Epoch439 Loss: 147.8625898424608, New Best Found!!
Epoch440 Loss: 147.6918806088448, New Best Found!!
Epoch441 Loss: 147.52194663672012, New Best Found!!
Epoch442 Loss: 147.3527828382111, New Best Found!!
Epoch443 Loss: 147.1843842275473, New Best Found!!
Epoch444 Loss: 147.01674592049056, New Best Found!!
Epoch445 Loss: 146.8498631337397, New Best Found!!
Epoch446 Loss: 146.6837311843091, New Best Found!!
Epoch447 Loss: 146.51834548887703, New Best Found!!
Epoch448 Loss: 146.35370156310194, New Best Found!!
Epoch449 Loss: 146.18979502090286, New Best Found!!
Epoch450 Loss: 146.0266215737032, New Best Found!!
Epoch451 Loss: 145.8641770296265, New Best Found!!
Epoch452 Loss: 145.70245729265437, New Best Found!!
Epoch453 Loss: 145.54145836173313, New Best Found!!
Epoch454 Loss: 145.38117632982838, New Best Found!!
Epoch455 Loss: 145.22160738293212, New Best Found!!
Epoch456 Loss: 145.06274779900974, New Best Found!!
Epoch457 Loss: 144.9045939468951, New Best Found!!
Epoch458 Loss: 144.74714228512127, New Best Found!!
Epoch459 Loss: 144.5903893606971, New Best Found!!
Epoch460 Loss: 144.43433180781835, New Best Found!!
Epoch461 Loss: 144.27896634651898, New Best Found!!
Epoch462 Loss: 144.12428978125806, New Best Found!!
